"id" "danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "duration_ms" "time_signature" "uri" "analysis_url" "name"
"65" "0MrkZz4D3fGlEkhebjPPrh" 0.39 0.861 9 -5.237 0 0.041 0.000103 0.00954 0.234 0.35 155.063 246093 4 "spotify:track:0MrkZz4D3fGlEkhebjPPrh" "https://api.spotify.com/v1/audio-analysis/0MrkZz4D3fGlEkhebjPPrh" "MK Ultra"
"66" "114rzL6VEy9bb3amPcY3tw" 0.481 0.603 2 -6.59 1 0.028 0.166 0.0321 0.109 0.213 105.974 338813 4 "spotify:track:114rzL6VEy9bb3amPcY3tw" "https://api.spotify.com/v1/audio-analysis/114rzL6VEy9bb3amPcY3tw" "I Belong to You (+Mon Coeur S'Ouvre a Ta Voix)"
"67" "6zkhhG8iQ8waiwGkQuhoE1" 0.262 0.474 5 -9.079 1 0.0359 0.00689 0.84 0.169 0.047 120.327 258440 3 "spotify:track:6zkhhG8iQ8waiwGkQuhoE1" "https://api.spotify.com/v1/audio-analysis/6zkhhG8iQ8waiwGkQuhoE1" "Exogenesis: SymphonyPt. 1 (Overture)"
"68" "39kUTBz4uJoy5VtmIybz9D" 0.189 0.386 0 -8.762 0 0.043 0.161 0.86 0.144 0.0382 155.006 236160 4 "spotify:track:39kUTBz4uJoy5VtmIybz9D" "https://api.spotify.com/v1/audio-analysis/39kUTBz4uJoy5VtmIybz9D" "Exogenesis: SymphonyPt. 2 (Cross-pollination)"
"69" "76ZDwA8uTyMys4LIS3pBUX" 0.0848 0.212 7 -11.406 1 0.0369 0.251 0.646 0.0796 0.0572 177.559 277027 4 "spotify:track:76ZDwA8uTyMys4LIS3pBUX" "https://api.spotify.com/v1/audio-analysis/76ZDwA8uTyMys4LIS3pBUX" "Exogenesis: SymphonyPt. 3 (Redemption)"
"70" "5cnM5fvXH82oSgBmANoSAZ" 0.133 0.483 9 -17.674 0 0.0524 0.808 0.919 0.938 0.178 99.655 104640 4 "spotify:track:5cnM5fvXH82oSgBmANoSAZ" "https://api.spotify.com/v1/audio-analysis/5cnM5fvXH82oSgBmANoSAZ" "Intro - Live From Wembley Stadium"
"71" "4G1DhRyIhJ0lyiqq4Q5c0c" 0.285 0.987 4 -4.324 1 0.122 0.000106 0.188 0.368 0.0754 138.212 397786 4 "spotify:track:4G1DhRyIhJ0lyiqq4Q5c0c" "https://api.spotify.com/v1/audio-analysis/4G1DhRyIhJ0lyiqq4Q5c0c" "Knights Of Cydonia - Live From Wembley Stadium"
"72" "5ta4LqlOAuXeQFZiwiLEpU" 0.195 0.963 0 -5.037 1 0.138 1.46e-05 0.04 0.173 0.125 186.177 259066 4 "spotify:track:5ta4LqlOAuXeQFZiwiLEpU" "https://api.spotify.com/v1/audio-analysis/5ta4LqlOAuXeQFZiwiLEpU" "Hysteria - Live From Wembley Stadium"
"73" "6orRbaAgk8QyiXthlxsMnh" 0.533 0.934 7 -6.797 1 0.0502 0.0165 0.208 0.834 0.519 120.033 241093 4 "spotify:track:6orRbaAgk8QyiXthlxsMnh" "https://api.spotify.com/v1/audio-analysis/6orRbaAgk8QyiXthlxsMnh" "Supermassive Black Hole - Live From Wembley Stadium"
"74" "1Tbd2lRfy4VA3RJCdCDabk" 0.477 0.986 8 -5.258 1 0.102 0.000219 0.182 0.278 0.267 125.041 322680 4 "spotify:track:1Tbd2lRfy4VA3RJCdCDabk" "https://api.spotify.com/v1/audio-analysis/1Tbd2lRfy4VA3RJCdCDabk" "Map Of The Problematique - Live From Wembley Stadium"
"75" "5Sx6nIi83dnEWxuslo1Isb" 0.211 0.916 9 -5.652 1 0.101 0.00321 0.407 0.699 0.0391 114.91 356880 4 "spotify:track:5Sx6nIi83dnEWxuslo1Isb" "https://api.spotify.com/v1/audio-analysis/5Sx6nIi83dnEWxuslo1Isb" "Butterflies and Hurricanes - Live From Wembley Stadium"
"76" "1EnUlOoGiqp4M1ovBjTmZn" 0.187 0.727 0 -7.586 1 0.0399 0.00255 0.0824 0.128 0.13 90.827 375920 4 "spotify:track:1EnUlOoGiqp4M1ovBjTmZn" "https://api.spotify.com/v1/audio-analysis/1EnUlOoGiqp4M1ovBjTmZn" "Invincible - Live From Wembley Stadium"
"77" "4Jn4qt6HfQKcjezeWR0GPZ" 0.478 0.919 10 -6.001 0 0.0678 0.000159 0.0183 0.874 0.309 121.602 253866 4 "spotify:track:4Jn4qt6HfQKcjezeWR0GPZ" "https://api.spotify.com/v1/audio-analysis/4Jn4qt6HfQKcjezeWR0GPZ" "Starlight - Live From Wembley Stadium"
"78" "4Ry1yFXBH8swjwFFGwtDG6" 0.474 0.944 9 -5.458 0 0.0585 0.000174 0.0424 0.916 0.31 118.045 263680 4 "spotify:track:4Ry1yFXBH8swjwFFGwtDG6" "https://api.spotify.com/v1/audio-analysis/4Ry1yFXBH8swjwFFGwtDG6" "Time Is Running Out - Live From Wembley Stadium"
"79" "5B91jjU65QD0h0UskAHa8u" 0.179 0.989 0 -5.074 1 0.248 0.00027 0.652 0.712 0.0897 144.716 496400 4 "spotify:track:5B91jjU65QD0h0UskAHa8u" "https://api.spotify.com/v1/audio-analysis/5B91jjU65QD0h0UskAHa8u" "New Born - Live From Wembley Stadium"
"80" "0xMAeD0G1XkCwpwXvYLNtx" 0.158 0.462 4 -10.894 0 0.0319 0.788 0.0815 0.807 0.0376 75.381 276160 4 "spotify:track:0xMAeD0G1XkCwpwXvYLNtx" "https://api.spotify.com/v1/audio-analysis/0xMAeD0G1XkCwpwXvYLNtx" "Unintended - Live From Wembley Stadium"
"81" "2WZGes8IInk3yOa0ervd6J" 0.121 0.933 2 -5.784 0 0.0613 0.000176 0.777 0.112 0.304 167.798 227266 4 "spotify:track:2WZGes8IInk3yOa0ervd6J" "https://api.spotify.com/v1/audio-analysis/2WZGes8IInk3yOa0ervd6J" "Micro Cuts - Live From Wembley Stadium"
